t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
41,Caphorn,4,blade,LeafElement1,0.212572014,0.208250174
41,Caphorn,4,internode,StemElement,0.004272866,0.018920701
41,Caphorn,4,sheath,StemElement,0.012424092,0.044137882
41,Caphorn,5,internode,StemElement,0.063581665,0.062759876
41,Caphorn,6,internode,StemElement,0.318023613,0.181507719
42,Caphorn,1,blade,LeafElement1,0,0.022642131
42,Caphorn,1,sheath,StemElement,0,0.008910641
42,Caphorn,2,blade,LeafElement1,0,0.035708622
42,Caphorn,2,sheath,StemElement,0,0.005902924
42,Caphorn,3,blade,LeafElement1,0.000232681,0.080712959
42,Caphorn,3,sheath,StemElement,0,0.01376764
42,Caphorn,4,blade,LeafElement1,0.188287832,0.208250174
42,Caphorn,4,internode,StemElement,0,0.018920701
42,Caphorn,4,sheath,StemElement,0,0.044137882
42,Caphorn,5,internode,StemElement,0.019436974,0.062759876
42,Caphorn,6,internode,StemElement,0.372122096,0.181507719
43,Caphorn,1,blade,LeafElement1,0,0.022642131
43,Caphorn,1,sheath,StemElement,0,0.008910641
43,Caphorn,2,blade,LeafElement1,0,0.035708622
43,Caphorn,2,sheath,StemElement,0,0.005902924
43,Caphorn,3,blade,LeafElement1,0,0.080712959
43,Caphorn,3,sheath,StemElement,0,0.01376764
43,Caphorn,4,blade,LeafElement1,0.084233286,0.208250174
43,Caphorn,4,internode,StemElement,0,0.018920701
43,Caphorn,4,sheath,StemElement,0,0.044137882
43,Caphorn,5,internode,StemElement,0.015263862,0.062759876
43,Caphorn,6,internode,StemElement,0.465250903,0.181507719
44,Caphorn,1,blade,LeafElement1,0,0
44,Caphorn,1,sheath,StemElement,0,0
44,Caphorn,2,blade,LeafElement1,0,0
44,Caphorn,2,sheath,StemElement,0,0
44,Caphorn,3,blade,LeafElement1,0,0
44,Caphorn,3,sheath,StemElement,0,0
44,Caphorn,4,blade,LeafElement1,0,0
44,Caphorn,4,internode,StemElement,0,0
44,Caphorn,4,sheath,StemElement,0,0
44,Caphorn,5,internode,StemElement,0,0
44,Caphorn,6,internode,StemElement,0,0
45,Caphorn,1,blade,LeafElement1,0,0
