t,plant,axis,Total_transpiration
665,1,MS,0.012316497546804805
666,1,MS,0.0103013974131708
667,1,MS,0.0103013974131708
668,1,MS,0.004320221072576999
669,1,MS,0.004320221072576999
670,1,MS,0.002710770356642516
671,1,MS,0.002710770356642516
672,1,MS,0.001996558877185905
673,1,MS,0.001996558877185905
674,1,MS,0.0024261447693367686
675,1,MS,0.0024261447693367686
676,1,MS,0.0029710590316285677
677,1,MS,0.0029710590316285677
678,1,MS,0.0047393794522904336
679,1,MS,0.0047393794522904336
680,1,MS,0.0063939946052739855
681,1,MS,0.0063939946052739855
682,1,MS,0.006488892399913843
683,1,MS,0.006488892399913843
684,1,MS,0.011586802538639336
685,1,MS,0.011586802538639336
686,1,MS,0.011469662293108415
687,1,MS,0.011469662293108415
688,1,MS,0.009484546095054095
689,1,MS,0.009484546095054095
690,1,MS,0.008373915640471805
691,1,MS,0.008373915640471805
692,1,MS,0.0021170431363817014
693,1,MS,0.0021170431363817014
694,1,MS,0.001127149071122079
695,1,MS,0.001127149071122079
696,1,MS,0.0008039772333168116
697,1,MS,0.0008039772333168116
698,1,MS,0.0007197536833363739
699,1,MS,0.0007197536833363739
700,1,MS,0.0009050360779662266
701,1,MS,0.0009050360779662266
702,1,MS,0.006742784817776782
703,1,MS,0.006742784817776782
704,1,MS,0.017638814034942815
705,1,MS,0.017638814034942815
706,1,MS,0.022568861710014532
707,1,MS,0.022568861710014532
708,1,MS,0.025000411806021527
709,1,MS,0.025000411806021527
710,1,MS,0.026307628221355305
711,1,MS,0.026307628221355305
712,1,MS,0.01957147667262562
713,1,MS,0.01957147667262562
714,1,MS,0.009450149896240429
715,1,MS,0.009450149896240429
716,1,MS,0.004447985193544388
717,1,MS,0.004447985193544388
718,1,MS,0.0018554824710728984
719,1,MS,0.0018554824710728984
720,1,MS,0.001357694083930086
721,1,MS,0.001357694083930086
722,1,MS,0.0008003961076290391
723,1,MS,0.0008003961076290391
724,1,MS,0.001137086823292697
725,1,MS,0.001137086823292697
726,1,MS,0.008174454348837549
727,1,MS,0.008174454348837549
728,1,MS,0.012808028127091933
729,1,MS,0.012808028127091933
730,1,MS,0.01998252614589985
731,1,MS,0.01998252614589985
732,1,MS,0.02256208258095374
733,1,MS,0.02256208258095374
734,1,MS,0.020150779161726813
735,1,MS,0.020150779161726813
736,1,MS,0.011918116199948248
737,1,MS,0.011918116199948248
