t,species,metamer,organ,Eabs,plant
47,Soissons,3,blade,0.0,1
47,Soissons,3,sheath,0.0,1
47,Soissons,4,blade,0.0,1
47,Soissons,4,internode,0.0,1
47,Soissons,4,sheath,0.0,1
47,Soissons,5,internode,0.0,1
47,Soissons,6,internode,0.0,1
48,Soissons,1,blade,0.0,1
48,Soissons,1,sheath,0.0,1
48,Soissons,2,blade,0.0,1
48,Soissons,2,sheath,0.0,1
48,Soissons,3,blade,0.0,1
48,Soissons,3,sheath,0.0,1
48,Soissons,4,blade,0.0,1
48,Soissons,4,internode,0.0,1
48,Soissons,4,sheath,0.0,1
48,Soissons,5,internode,0.0,1
48,Soissons,6,internode,0.0,1
49,Soissons,1,blade,0.0,1
49,Soissons,1,sheath,0.0,1
49,Soissons,2,blade,0.0,1
49,Soissons,2,sheath,0.0,1
49,Soissons,3,blade,0.0,1
49,Soissons,3,sheath,0.0,1
49,Soissons,4,blade,0.0,1
49,Soissons,4,internode,0.0,1
49,Soissons,4,sheath,0.0,1
49,Soissons,5,internode,0.0,1
49,Soissons,6,internode,0.0,1
50,Soissons,1,blade,0.0,1
50,Soissons,1,sheath,0.0,1
50,Soissons,2,blade,0.0,1
50,Soissons,2,sheath,0.0,1
50,Soissons,3,blade,0.0,1
50,Soissons,3,sheath,0.0,1
50,Soissons,4,blade,0.0,1
50,Soissons,4,internode,0.0,1
50,Soissons,4,sheath,0.0,1
50,Soissons,5,internode,0.0,1
50,Soissons,6,internode,0.0,1
51,Soissons,1,blade,0.0,1
51,Soissons,1,sheath,0.0,1
51,Soissons,2,blade,0.0,1
51,Soissons,2,sheath,0.0,1
51,Soissons,3,blade,0.0,1
51,Soissons,3,sheath,0.0,1
51,Soissons,4,blade,0.0,1
51,Soissons,4,internode,0.0,1
51,Soissons,4,sheath,0.0,1
51,Soissons,5,internode,0.0,1
51,Soissons,6,internode,0.0,1
52,Soissons,1,blade,0.0,1
52,Soissons,1,sheath,0.0,1
52,Soissons,2,blade,0.0,1
52,Soissons,2,sheath,0.0,1
52,Soissons,3,blade,0.0,1
52,Soissons,3,sheath,0.0,1
52,Soissons,4,blade,0.0,1
52,Soissons,4,internode,0.0,1
52,Soissons,4,sheath,0.0,1
52,Soissons,5,internode,0.0,1
52,Soissons,6,internode,0.0,1
53,Soissons,1,blade,0.0629251644581,1
53,Soissons,1,sheath,0.028582723888,1
53,Soissons,2,blade,0.103737207289,1
53,Soissons,2,sheath,0.0253798955928,1
53,Soissons,3,blade,0.190626282745,1
53,Soissons,3,sheath,0.0397833622868,1
53,Soissons,4,blade,0.380978639961,1
53,Soissons,4,internode,0.0541564898356,1
53,Soissons,4,sheath,0.0871593113713,1
53,Soissons,5,internode,0.138847983154,1
53,Soissons,6,internode,0.271952097354,1
54,Soissons,1,blade,0.0629251644581,1
54,Soissons,1,sheath,0.028582723888,1
54,Soissons,2,blade,0.103737207289,1
54,Soissons,2,sheath,0.0253798955928,1
54,Soissons,3,blade,0.190626282745,1
54,Soissons,3,sheath,0.0397833622868,1
54,Soissons,4,blade,0.380978639961,1
54,Soissons,4,internode,0.0541564898356,1
54,Soissons,4,sheath,0.0871593113713,1
54,Soissons,5,internode,0.138847983154,1
54,Soissons,6,internode,0.271952097354,1
55,Soissons,1,blade,0.0629251644581,1
55,Soissons,1,sheath,0.028582723888,1
55,Soissons,2,blade,0.103737207289,1
55,Soissons,2,sheath,0.0253798955928,1
55,Soissons,3,blade,0.190626282745,1
55,Soissons,3,sheath,0.0397833622868,1
55,Soissons,4,blade,0.380978639961,1
55,Soissons,4,internode,0.0541564898356,1
55,Soissons,4,sheath,0.0871593113713,1
55,Soissons,5,internode,0.138847983154,1
55,Soissons,6,internode,0.271952097354,1
