ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
583,1,10,3.518954836,3.95653979,0.995850622,0.360403082,0.950980392,42,15.2,9.7
594,1,10,3.808350005,4.245934959,0.96976882,0.341434499,1.029411765,40.9,14.4,10.5
603,1,10,4.127741153,4.565326107,1.012448133,0.369887374,0.911764706,42.7,15.6,9.3
618,1,10,4.572398528,5.009983482,1.002963841,0.377000593,0.970588235,42.3,15.9,9.9
623,1,10,4.856322732,5.293907686,1.000592768,0.377000593,1.078431373,42.2,15.9,11
632,1,10,5.444357114,5.881942067,0.974510966,0.350918791,0.637254902,41.1,14.8,6.5
643,1,10,5.732714686,6.170299639,1.019561352,0.388855957,0.990196078,43,16.4,10.1
652,1,10,5.990604644,6.428189597,1.012448133,0.379371666,1,42.7,16,10.2
662,1,10,6.557698436,6.99528339,NA,0.37462952,0.843137255,NA,15.8,8.6
682,1,10,7.865636315,8.303221268,1.017190279,0.386484884,1.058823529,42.9,16.3,10.8
693,1,10,8.317556867,8.755141821,NA,0.365145228,0.921568627,NA,15.4,9.4
70,1,10,8.653738217,9.091323171,NA,0.372258447,0.990196078,NA,15.7,10.1
1111,1,11,-6.200914001,-5.678952403,0.000143003,NA,NA,0.007,NA,NA
128,1,11,-6.061970363,-5.540008764,0.000143003,NA,NA,0.007,NA,NA
138,1,11,-5.955852512,-5.433890914,0.000183861,NA,NA,0.009,NA,NA
148,1,11,-5.912650756,-5.390689158,0.000183861,NA,NA,0.009,NA,NA
158,1,11,-5.72088401,-5.198922411,0.000224719,NA,NA,0.011,NA,NA
168,1,11,-5.614954813,-5.092993215,0.000224719,NA,NA,0.011,NA,NA
178,1,11,-5.486953104,-4.964991506,0.00020429,NA,NA,0.01,NA,NA
188,1,11,-5.278207501,-4.756245903,0.000245148,NA,NA,0.012,NA,NA
198,1,11,-5.143319923,-4.621358324,0.000326864,NA,NA,0.016,NA,NA
208,1,11,-5.0313538,-4.509392201,0.000265577,NA,NA,0.013,NA,NA
228,1,11,-4.9205196,-4.398558002,0.000531154,NA,NA,0.026,NA,NA
238,1,11,-4.801478954,-4.279517356,0.000551583,NA,NA,0.027,NA,NA
248,1,11,-4.664799163,-4.142837564,0.000388151,NA,NA,0.019,NA,NA
258,1,11,-4.63367126,-4.111709662,0.000572012,NA,NA,0.028,NA,NA
268,1,11,-4.607825668,-4.08586407,0.000592441,NA,NA,0.029,NA,NA
278,1,11,-4.42266181,-3.900700212,0.000715015,NA,NA,0.035,NA,NA
287,1,11,-4.091102482,-3.569140883,0.000326864,NA,NA,0.016,NA,NA
298,1,11,-4.016961477,-3.494999879,0.000776302,NA,NA,0.038,NA,NA
308,1,11,-3.938764412,-3.416802814,0.001001021,NA,NA,0.049,NA,NA
318,1,11,-3.767372293,-3.245410695,0.001164454,NA,NA,0.057,NA,NA
328,1,11,-3.603714986,-3.081753388,0.001818182,NA,NA,0.089,NA,NA
338,1,11,-3.476467892,-2.954506294,0.001491318,NA,NA,0.073,NA,NA
347,1,11,-3.34639099,-2.824429391,0.001634321,NA,NA,0.08,NA,NA
358,1,11,-3.226784381,-2.704822783,0.001899898,NA,NA,0.093,NA,NA
367,1,11,-3.072371118,-2.55040952,0.001879469,NA,NA,0.092,NA,NA
377,1,11,-2.766280074,-2.244318476,0.003023493,NA,NA,0.148,NA,NA
386,1,11,-2.593190069,-2.071228471,0.005842697,NA,NA,0.286,NA,NA
397,1,11,-2.439059787,-1.917098189,0.006128703,NA,NA,0.3,NA,NA
407,1,11,-2.210033884,-1.688072286,0.007150153,NA,NA,0.35,NA,NA
419,1,11,-2.064958992,-1.542997394,0.007150153,NA,NA,0.35,NA,NA
426,1,11,-1.87866321,-1.356701612,0.010214505,NA,NA,0.5,NA,NA
436,1,11,-1.653033079,-1.13107148,0.018386108,0.002042901,NA,0.9,0.1,NA
446,1,11,-1.432024969,-0.91006337,0.02247191,0.003064351,NA,1.1,0.15,NA
457,1,11,-1.038304162,-0.516342564,0.046986721,0.006128703,NA,2.3,0.3,NA
466,1,11,-0.401219752,0.120741846,0.118488253,0.012257406,NA,5.8,0.6,NA
475,1,11,-0.143235467,0.378726132,0.339121553,0.026557712,0.015748031,16.6,1.3,0.2
486,1,11,0.089280534,0.611242133,0.331971399,0.028600613,0.015748031,16.25,1.4,0.2
495,1,11,0.30198787,0.823949468,0.517875383,0.063329928,0.039370079,25.35,3.1,0.5
505,1,11,0.456967095,0.978928693,0.702757916,0.120531154,0.062992126,34.4,5.9,0.8
516,1,11,0.527900982,1.049862581,0.636363636,0.08784474,0.047244094,31.15,4.3,0.6
525,1,11,0.777112859,1.299074457,0.798774259,0.189989785,0.086614173,39.1,9.3,1.1
533,1,11,0.992932985,1.514894583,0.923391216,0.269662921,0.102362205,45.2,13.2,1.3
545,1,11,1.209979361,1.73194096,0.870275792,0.279877426,0.118110236,42.6,13.7,1.5
