t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
354,1,6,7.2,0,5.943,0.81,360,3.1
355,1,7,6.9,0,5.6455,0.82,360,3.1
356,1,8,6.9,0,5.421,0.85,360,3.1
357,1,9,7.7,101,5.1035,0.84,360,3.1
358,1,10,8.9,269.3333333,5.152,0.81,360,3.1
359,1,11,9.2,460.1111111,5.7205,0.79,360,3.1
360,1,12,9.5,280.5555556,6.477,0.78,360,3.1
361,1,13,9.4,224.4444444,7.0025,0.78,360,3.1
362,1,14,10.4,370.3333333,7.365,0.76,360,3.1
363,1,15,10.2,291.7777778,7.605,0.77,360,3.1
364,1,16,9,67.33333333,7.495,0.85,360,3.1
365,1,17,7.8,0,7.0565,0.89,360,3.1
366,1,18,7.8,0,6.549,0.89,360,3.1
367,1,19,8,0,6.15,0.83,360,3.1
368,1,20,7.3,0,5.9585,0.86,360,3.1
369,1,21,7.4,0,5.7675,0.89,360,3.1
370,1,22,7,0,5.6445,0.9,360,3.1
371,1,23,6.6,0,5.564,0.93,360,3.1
372,1,24,6.7,0,5.5145,0.92,360,6.1
373,2,1,7,0,5.539,0.93,360,6.1
374,2,2,7.2,0,5.5765,0.91,360,6.1
375,2,3,7.9,0,5.6785,0.88,360,6.1
376,2,4,7.6,0,5.825,0.88,360,6.1
377,2,5,7.5,0,5.924,0.88,360,6.1
378,2,6,7.5,0,6.017,0.88,360,6.1
379,2,7,7.4,0,6.051,0.88,360,6.1
380,2,8,7,0,6.067,0.92,360,6.1
381,2,9,7.4,11.22222222,6.127,0.89,360,6.1
382,2,10,7.7,56.11111111,6.2235,0.89,360,6.1
383,2,11,8.1,101,6.391,0.9,360,6.1
384,2,12,8.6,179.5555556,6.6205,0.88,360,6.1
385,2,13,9.1,291.7777778,6.9485,0.87,360,6.1
386,2,14,9.9,314.2222222,7.33,0.82,360,6.1
387,2,15,9.5,224.4444444,7.44,0.82,360,6.1
388,2,16,8.6,44.88888889,7.34,0.87,360,6.1
389,2,17,8.4,0,7.085,0.9,360,6.1
390,2,18,5,0,6.95,0.96,360,6.1
391,2,19,5.3,0,6.5075,0.94,360,6.1
392,2,20,4.9,0,6.125,0.94,360,6.1
393,2,21,5.2,0,5.72,0.91,360,6.1
394,2,22,5.5,0,5.403,0.88,360,6.1
395,2,23,5.6,0,5.246,0.88,360,6.1
396,2,24,5.4,0,5.076,0.88,360,6.6
397,3,1,4.7,0,4.863,0.88,360,6.6
398,3,2,4.2,0,4.598,0.9,360,6.6
399,3,3,4.7,0,4.3625,0.9,360,6.6
400,3,4,5.1,0,4.2815,0.9,360,6.6
401,3,5,5.6,0,4.3165,0.92,360,6.6
402,3,6,6,0,4.506,0.94,360,6.6
403,3,7,6.4,0,4.8245,0.94,360,6.6
404,3,8,7.2,0,5.1275,0.95,360,6.6
405,3,9,8,33.66666667,5.5085,0.95,360,6.6
406,3,10,9.1,67.33333333,5.9545,0.94,360,6.6
407,3,11,11.1,101,6.4845,0.86,360,6.6
408,3,12,11.3,381.5555556,7.029,0.68,360,6.6
409,3,13,10.2,213.2222222,7.375,0.71,360,6.6
